Jahr,Monat,Tag,Strom
2014,2,1,0.0
2014,2,2,0.0
2014,2,3,0.0
2014,2,4,0.0
2014,2,5,0.0
2014,2,6,0.0
2014,2,7,0.0
2014,2,8,0.0
2014,2,9,0.0
2014,2,10,0.0
2014,2,11,0.0
2014,2,12,0.0
2014,2,13,0.0
2014,2,14,0.0
2014,2,15,0.0
2014,2,16,0.0
2014,2,17,0.0
2014,2,18,0.0
2014,2,19,0.0
2014,2,20,0.0
2014,2,21,0.0
2014,2,22,0.0
2014,2,23,0.0
2014,2,24,0.0
2014,2,25,0.0
2014,2,26,0.0
2014,2,27,0.0
2014,2,28,1513140.0
2014,3,1,0.0
2014,3,2,0.0
2014,3,3,0.0
2014,3,4,0.0
2014,3,5,0.0
2014,3,6,0.0
2014,3,7,0.0
2014,3,8,0.0
2014,3,9,0.0
2014,3,10,0.0
2014,3,11,0.0
2014,3,12,0.0
2014,3,13,0.0
2014,3,14,0.0
2014,3,15,0.0
2014,3,16,0.0
2014,3,17,0.0
2014,3,18,0.0
2014,3,19,0.0
2014,3,20,0.0
2014,3,21,0.0
2014,3,22,0.0
2014,3,23,0.0
2014,3,24,0.0
2014,3,25,0.0
2014,3,26,0.0
2014,3,27,0.0
2014,3,28,0.0
2014,3,29,0.0
2014,3,30,0.0
2014,3,31,1527480.0
2014,4,1,0.0
2014,4,2,0.0
2014,4,3,0.0
2014,4,4,0.0
2014,4,5,0.0
2014,4,6,0.0
2014,4,7,0.0
2014,4,8,0.0
2014,4,9,0.0
2014,4,10,0.0
2014,4,11,0.0
2014,4,12,0.0
2014,4,13,0.0
2014,4,14,0.0
2014,4,15,0.0
2014,4,16,0.0
2014,4,17,0.0
2014,4,18,0.0
2014,4,19,0.0
2014,4,20,0.0
2014,4,21,0.0
2014,4,22,0.0
2014,4,23,0.0
2014,4,24,0.0
2014,4,25,0.0
2014,4,26,0.0
2014,4,27,0.0
2014,4,28,0.0
2014,4,29,0.0
2014,4,30,1501080.0
2014,5,1,0.0
2014,5,2,0.0
2014,5,3,0.0
2014,5,4,0.0
2014,5,5,0.0
2014,5,6,0.0
2014,5,7,0.0
2014,5,8,0.0
2014,5,9,0.0
2014,5,10,0.0
2014,5,11,0.0
2014,5,12,0.0
2014,5,13,0.0
2014,5,14,0.0
2014,5,15,0.0
2014,5,16,0.0
2014,5,17,0.0
2014,5,18,0.0
2014,5,19,0.0
2014,5,20,0.0
2014,5,21,0.0
2014,5,22,0.0
2014,5,23,0.0
2014,5,24,0.0
2014,5,25,0.0
2014,5,26,0.0
2014,5,27,0.0
2014,5,28,0.0
2014,5,29,0.0
2014,5,30,0.0
2014,5,31,1627380.0
2014,6,1,0.0
2014,6,2,0.0
2014,6,3,0.0
2014,6,4,0.0
2014,6,5,0.0
2014,6,6,0.0
2014,6,7,0.0
2014,6,8,0.0
2014,6,9,0.0
2014,6,10,0.0
2014,6,11,0.0
2014,6,12,0.0
2014,6,13,0.0
2014,6,14,0.0
2014,6,15,0.0
2014,6,16,0.0
2014,6,17,0.0
2014,6,18,0.0
2014,6,19,0.0
2014,6,20,0.0
2014,6,21,0.0
2014,6,22,0.0
2014,6,23,0.0
2014,6,24,0.0
2014,6,25,0.0
2014,6,26,0.0
2014,6,27,0.0
2014,6,28,0.0
2014,6,29,0.0
2014,6,30,1661760.0
2014,7,1,0.0
2014,7,2,0.0
2014,7,3,0.0
2014,7,4,0.0
2014,7,5,0.0
2014,7,6,0.0
2014,7,7,0.0
2014,7,8,0.0
2014,7,9,0.0
2014,7,10,0.0
2014,7,11,0.0
2014,7,12,0.0
2014,7,13,0.0
2014,7,14,0.0
2014,7,15,0.0
2014,7,16,0.0
2014,7,17,0.0
2014,7,18,0.0
2014,7,19,0.0
2014,7,20,0.0
2014,7,21,0.0
2014,7,22,0.0
2014,7,23,0.0
2014,7,24,0.0
2014,7,25,0.0
2014,7,26,0.0
2014,7,27,0.0
2014,7,28,0.0
2014,7,29,0.0
2014,7,30,0.0
2014,7,31,1768680.0
2014,8,1,0.0
2014,8,2,0.0
2014,8,3,0.0
2014,8,4,0.0
2014,8,5,0.0
2014,8,6,0.0
2014,8,7,0.0
2014,8,8,0.0
2014,8,9,0.0
2014,8,10,0.0
2014,8,11,0.0
2014,8,12,0.0
2014,8,13,0.0
2014,8,14,0.0
2014,8,15,0.0
2014,8,16,0.0
2014,8,17,0.0
2014,8,18,0.0
